iter	Logloss	Precision:use_weights=true	Precision:use_weights=false	Recall:use_weights=true	Recall:use_weights=false	F1:use_weights=true	F1:use_weights=false	AUC
198	0.5412608503	0.653803348	0.2267614931	0.8536930375	0.8536930375	0.7404957935	0.3583393884	0.7718544127
199	0.5411902648	0.6539025996	0.2268383941	0.8537946341	0.8537946341	0.7405976721	0.3584443537	0.7719629999
200	0.5411494771	0.6539044739	0.2268398466	0.8538727854	0.8538727854	0.7406282739	0.3584530539	0.7720161987
201	0.5410926152	0.6539970864	0.22691163	0.8538415249	0.8538415249	0.7406759123	0.3585399151	0.7721033358
202	0.5410222406	0.6540511011	0.2269535081	0.8536461468	0.8536461468	0.7406370252	0.3585749575	0.7722055651
203	0.5409696355	0.6540092642	0.2269210708	0.8534195081	0.8534195081	0.7405248922	0.3585144767	0.7722951195
204	0.5408997515	0.654098654	0.2269903833	0.8533413569	0.8533413569	0.7405527635	0.3585940771	0.7723478032
205	0.5408670449	0.6541944909	0.2270647209	0.8535054745	0.8535054745	0.7406759862	0.3587013286	0.7723996536
206	0.5408248841	0.6542459441	0.2271046425	0.8533804325	0.8533804325	0.7406618714	0.3587400928	0.7724624033
207	0.5407419211	0.6542401026	0.2271001098	0.8533882476	0.8533882476	0.7406610715	0.3587351283	0.7725507108
208	0.5406718854	0.6543106347	0.2271548459	0.8529193401	0.8529193401	0.7405295862	0.3587619513	0.7726335374
209	0.5406429843	0.6543615815	0.2271943919	0.8530678275	0.8530678275	0.7406181801	0.3588244092	0.7726772451
210	0.5406031488	0.6544229969	0.2272420741	0.8532397602	0.8532397602	0.7407223112	0.3588990886	0.7727257594
211	0.5405893023	0.6544374951	0.2272533319	0.8532553905	0.8532553905	0.7407374881	0.3589145121	0.7727485161
212	0.540511605	0.6545570341	0.2273461772	0.8532397602	0.8532397602	0.7408081632	0.3590289139	0.77285789
213	0.5404800138	0.6546009127	0.2273802681	0.8532397602	0.8532397602	0.7408362645	0.3590714226	0.772903909
214	0.5404481952	0.6547004189	0.2274575989	0.8531459787	0.8531459787	0.7408646272	0.3591595287	0.7729503762
215	0.5404140691	0.6547341965	0.2274838556	0.8531537939	0.8531537939	0.7408892004	0.3591929535	0.7730034035
216	0.5403150412	0.6548893955	0.2276045413	0.8530834577	0.8530834577	0.7409620256	0.3593371432	0.7731843891
217	0.5402554646	0.6549925249	0.2276847759	0.8526848863	0.8526848863	0.7408776208	0.3594017383	0.7732696243
218	0.5401972591	0.6550354281	0.2277181638	0.8526301805	0.8526301805	0.7408844138	0.3594384721	0.7733524332
219	0.5401380283	0.6551201501	0.2277841116	0.8525442141	0.8525442141	0.7409061417	0.3595129772	0.773412213
220	0.5400936495	0.6551643396	0.2278185171	0.8524504326	0.8524504326	0.7408989816	0.3595474877	0.7734438332
221	0.5400213347	0.6552891706	0.2279157406	0.8526770712	0.8526770712	0.7410644022	0.3596887265	0.7735527466
222	0.539974678	0.655299378	0.2279236925	0.8524895082	0.8524895082	0.7410000824	0.3596819373	0.7736071939
223	0.5397223548	0.6556507825	0.2281976379	0.8522550544	0.8522550544	0.7411360572	0.3600020467	0.7740284432
224	0.5396994748	0.6556632801	0.2282073874	0.8521612729	0.8521612729	0.7411085783	0.3600058108	0.7740599151
225	0.5396581849	0.6557304567	0.2282598005	0.8524426174	0.8524426174	0.7412578787	0.3600961348	0.7741171334
226	0.5395951976	0.6557251794	0.2282556825	0.8522863149	0.8522863149	0.7411954072	0.3600770631	0.7741701251
227	0.5395064646	0.6558880595	0.2283828189	0.8522237939	0.8522237939	0.7412758002	0.3602296527	0.7742628959
228	0.5394627759	0.6559945275	0.2284659652	0.8523019452	0.8523019452	0.7413733599	0.3603400594	0.7743248155
229	0.5394049968	0.6560856953	0.2285371894	0.8525051384	0.8525051384	0.7415084515	0.3604468081	0.7744046842
230	0.5392891029	0.6562581294	0.2286719695	0.8521769032	0.8521769032	0.7414943412	0.3605850471	0.7745807671
231	0.5392586151	0.6562164199	0.2286393599	0.8522394242	0.8522394242	0.7414913814	0.3605500993	0.7746194967
232	0.5391626602	0.6565173931	0.2288747845	0.8519346343	0.8519346343	0.741568038	0.3608154268	0.7747173566
233	0.5391138158	0.6565819337	0.2289253039	0.8518095923	0.8518095923	0.7415618287	0.3608669813	0.7747871911
234	0.5390739195	0.656602811	0.2289416484	0.8519580797	0.8519580797	0.7416314097	0.3609006128	0.774825425
235	0.5390622421	0.6566141268	0.2289505079	0.8519033738	0.8519033738	0.7416178993	0.3609067116	0.7748401767
236	0.5390333068	0.6566492239	0.2289779887	0.8520127855	0.8520127855	0.741681743	0.3609506735	0.774878371
237	0.5389923381	0.6567081528	0.2290241381	0.8518408528	0.8518408528	0.7416541734	0.3609925731	0.7749346573
238	0.5389134534	0.6567487229	0.2290559161	0.851606399	0.851606399	0.7415911636	0.3610109858	0.7750355349
239	0.538733463	0.6570089396	0.2292598562	0.8515673234	0.8515673234	0.741742208	0.3612607191	0.7753326571
